代码,简称,日期,开盘价(元),收盘价(元),成交金额(元)
600004.SH,白云机场,2003-04-28,4.6489,5.2692,1512258214
600004.SH,白云机场,2003-04-29,5.1186,5.1126,635863436
600004.SH,白云机场,2003-04-30,5.1487,5.3354,710063498
600004.SH,白云机场,2003-05-12,5.2391,5.227,308806284
600004.SH,白云机场,2003-05-13,5.2029,4.8717,325715933
600004.SH,白云机场,2003-05-14,4.8175,5.0283,253425348
600004.SH,白云机场,2003-05-15,5.0163,5.1487,236834456
600004.SH,白云机场,2003-05-16,5.1487,5.1548,307204529
600004.SH,白云机场,2003-05-19,5.1789,5.2692,407544272
600004.SH,白云机场,2003-05-20,5.2692,5.227,147727684
600004.SH,白云机场,2003-05-21,5.227,5.1789,110939930
600004.SH,白云机场,2003-05-22,5.1668,5.209,88781118
600004.SH,白云机场,2003-05-23,5.2391,5.492,670901997
600004.SH,白云机场,2003-05-26,5.4799,5.5101,431132436
600004.SH,白云机场,2003-05-27,5.5341,5.5101,184901453
600004.SH,白云机场,2003-05-28,5.5402,5.4318,302104859
600004.SH,白云机场,2003-05-29,5.4318,5.6305,210900164
600004.SH,白云机场,2003-05-30,5.6486,5.5582,244128620
600004.SH,白云机场,2003-06-02,5.5703,5.5883,201804921
600004.SH,白云机场,2003-06-03,5.6004,5.5281,122447236
600004.SH,白云机场,2003-06-04,5.5161,5.5823,112488205
600004.SH,白云机场,2003-06-05,5.5522,5.5101,110737203
600004.SH,白云机场,2003-06-06,5.4799,5.5161,88911859
600004.SH,白云机场,2003-06-09,5.4739,5.492,63322602
600004.SH,白云机场,2003-06-10,5.492,5.5944,157420724
600004.SH,白云机场,2003-06-11,5.6004,5.6606,131429944
600004.SH,白云机场,2003-06-12,5.6847,5.6124,83354483
600004.SH,白云机场,2003-06-13,5.6365,5.6124,62495500
600004.SH,白云机场,2003-06-16,5.6124,5.5823,61435524
600004.SH,白云机场,2003-06-17,5.5522,5.5341,46610786
600004.SH,白云机场,2003-06-18,5.5341,5.504,55781138
600004.SH,白云机场,2003-06-19,5.498,5.4619,59409928
600004.SH,白云机场,2003-06-20,5.6004,5.4679,46895164
600004.SH,白云机场,2003-06-23,5.4559,5.4498,62547673
600004.SH,白云机场,2003-06-24,5.4378,5.4498,28250536
600004.SH,白云机场,2003-06-25,5.4739,5.2391,171431598
600004.SH,白云机场,2003-06-27,5.2993,5.2451,100730062
600004.SH,白云机场,2003-06-30,5.2391,5.233,41484932
600004.SH,白云机场,2003-07-01,5.233,5.2451,40975090
600004.SH,白云机场,2003-07-02,5.2692,5.3294,33290309
600004.SH,白云机场,2003-07-03,5.3294,5.3776,38777601
600004.SH,白云机场,2003-07-04,5.3716,5.3475,46344703
600004.SH,白云机场,2003-07-07,5.3294,5.3174,30836117
600004.SH,白云机场,2003-07-08,5.3053,5.3776,23762127
