代码,简称,月份,开盘价(元),收盘价(元),成交金额(元)
600004.SH,白云机场,2003-05,4.972066666666667,5.239066666666666,2858185148.0
600004.SH,白云机场,2003-06,5.2760066666666665,5.296486666666667,4231049083.0
600004.SH,白云机场,2003-07,5.5154749999999995,5.4931849999999995,1808990018.0
600004.SH,白云机场,2003-08,5.472352173913044,5.48754347826087,1907889972.0
600004.SH,白云机场,2003-09,5.401647619047619,5.400799999999999,497041653.0
600004.SH,白云机场,2003-10,5.234690909090911,5.232768181818181,547993821.0
600004.SH,白云机场,2003-11,5.0199388888888885,5.002872222222222,651692552.0
600004.SH,白云机场,2003-12,4.982239999999999,4.98645,769952405.0
600004.SH,白云机场,2004-01,5.286460869565217,5.2998130434782595,1456047859.0
600004.SH,白云机场,2004-02,5.738884615384616,5.762507692307692,1781468512.0
600004.SH,白云机场,2004-03,5.864749999999999,5.846075,2340577575.0
600004.SH,白云机场,2004-04,5.665834782608697,5.6757869565217405,1242550721.0
600004.SH,白云机场,2004-05,5.837436363636365,5.833063636363637,1676155643.0
600004.SH,白云机场,2004-06,5.453212499999999,5.434025,389075342.0
600004.SH,白云机场,2004-07,5.017399999999999,5.001057142857142,556461546.0
600004.SH,白云机场,2004-08,5.287536363636364,5.304163636363637,863032801.0
600004.SH,白云机场,2004-09,5.367840909090909,5.3719909090909095,540940356.0
600004.SH,白云机场,2004-10,5.296931818181819,5.303009090909092,986336546.0
600004.SH,白云机场,2004-11,5.598525,5.611475000000001,1215791502.0
600004.SH,白云机场,2004-12,5.7484590909090905,5.745418181818183,956005496.0
600004.SH,白云机场,2005-01,5.3827565217391315,5.364726086956523,431731790.0
600004.SH,白云机场,2005-02,5.257700000000001,5.260140000000001,389270100.0
600004.SH,白云机场,2005-03,5.380015384615385,5.397346153846154,363519691.0
600004.SH,白云机场,2005-04,5.098426086956523,5.073504347826087,732337318.0
600004.SH,白云机场,2005-05,4.533995238095237,4.537466666666666,808871451.0
600004.SH,白云机场,2005-06,4.16213125,4.155275,257506766.0
600004.SH,白云机场,2005-07,4.530804761904762,4.545604761904762,1085824110.0
600004.SH,白云机场,2005-08,5.028942857142858,5.054838095238095,737727215.0
600004.SH,白云机场,2005-09,5.244013043478262,5.2434652173913046,756834595.0
600004.SH,白云机场,2005-10,5.112968181818181,5.0987,435547278.0
600004.SH,白云机场,2005-11,4.700670000000001,4.7069600000000005,268762144.0
600004.SH,白云机场,2005-12,4.940133333333333,4.97575,358138154.0
600004.SH,白云机场,2006-01,5.038577777777778,5.059366666666666,924922884.0
600004.SH,白云机场,2006-02,5.10230625,5.093437500000001,971896387.0
600004.SH,白云机场,2006-03,4.900729411764706,4.889288235294118,832653720.0
600004.SH,白云机场,2006-04,4.694104347826086,4.6846695652173915,499415836.0
600004.SH,白云机场,2006-05,4.620755,4.62112,751024355.0
600004.SH,白云机场,2006-06,4.825505882352942,4.846170588235294,1455245793.0
600004.SH,白云机场,2006-07,5.071672727272727,5.082213636363637,1677485499.0
600004.SH,白云机场,2006-08,5.135114285714287,5.12647142857143,959951671.0
600004.SH,白云机场,2006-09,4.900460869565217,4.903430434782607,507701932.0
600004.SH,白云机场,2006-10,4.977790476190477,4.9911714285714295,625793972.0
